[ 2023-09-20 20:25:23,997 ] 187 werkzeug - WARNING -  * Debugger is active!
[ 2023-09-20 20:25:24,008 ] 187 werkzeug - INFO -  * Debugger PIN: 845-496-037
[ 2023-09-20 20:26:25,626 ] 64 root - INFO - Dataframe Gathered
[ 2023-09-20 20:26:25,627 ] 56 root - INFO - Exception Occured in load_object function utils
[ 2023-09-20 20:26:25,627 ] 25 root - INFO - Exception occured in prediction
[ 2023-09-20 20:26:25,663 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:25] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2023-09-20 20:26:25,686 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:25] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:25,687 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:25] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:25,713 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:25] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:25,727 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:25] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:28,843 ] 64 root - INFO - Dataframe Gathered
[ 2023-09-20 20:26:28,844 ] 56 root - INFO - Exception Occured in load_object function utils
[ 2023-09-20 20:26:28,844 ] 25 root - INFO - Exception occured in prediction
[ 2023-09-20 20:26:28,864 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:28] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2023-09-20 20:26:28,883 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:28,887 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:28,898 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:28,917 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:28] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:58,293 ] 64 root - INFO - Dataframe Gathered
[ 2023-09-20 20:26:58,294 ] 56 root - INFO - Exception Occured in load_object function utils
[ 2023-09-20 20:26:58,294 ] 25 root - INFO - Exception occured in prediction
[ 2023-09-20 20:26:58,314 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:58] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[ 2023-09-20 20:26:58,327 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:58] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:58,329 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:58] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:58,336 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:58] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:26:58,350 ] 187 werkzeug - INFO - 127.0.0.1 - - [20/Sep/2023 20:26:58] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
[ 2023-09-20 20:27:30,434 ] 187 werkzeug - INFO -  * Detected change in 'c:\\users\\shruti shravani\\desktop\\housing price\\src\\prediction_pipeline.py', reloading
